CCG_CODE,TOTAL_ALL,TOTAL_MALE,TOTAL_FEMALE,MALE_0-4,MALE_5-9,MALE_10-14,MALE_15-19,MALE_20-24,MALE_25-29,MALE_30-34,MALE_35-39,MALE_40-44,MALE_45-49,MALE_50-54,MALE_55-59,MALE_60-64,MALE_65-69,MALE_70-74,MALE_75-79,MALE_80-84,Male_85-89,MALE_90-94,MALE_95+,FEMALE_0-4,FEMALE_5-9,FEMALE_10-14,FEMALE_15-19,FEMALE_20-24,FEMALE_25-29,FEMALE_30-34,FEMALE_35-39,FEMALE_40-44,FEMALE_45-49,FEMALE_50-54,FEMALE_55-59,FEMALE_60-64,FEMALE_65-69,FEMALE_70-74,FEMALE_75-79,FEMALE_80-84,FEMALE_85-89,FEMALE_90-94,FEMALE_95+
10W,134426,68919,65507,4660,4071,3215,3740,6788,6745,7356,6474,5414,4709,4129,3180,2377,2009,1520,1183,750,411,154,34,4555,3820,3140,4009,7745,7181,6762,5073,4162,3954,3394,2720,2214,2022,1485,1276,985,593,334,83
10X,268953,137755,131198,8791,7604,6374,8543,14313,12373,12222,10898,9634,8860,8404,7239,6018,5603,3916,3035,2115,1246,495,72,8063,7300,6006,8478,14969,11932,10731,8767,7743,7670,7454,6513,5811,5680,4170,3499,2952,2094,1053,313
10Y,204563,101304,103259,6337,6543,6356,6397,5547,5597,5878,6211,7451,8389,8006,6747,5663,5673,3918,3042,1998,1060,412,79,6096,6184,5908,5835,5492,5941,6293,6479,7712,8318,7793,6550,5728,5797,4279,3320,2540,1743,967,284
11A,547054,267337,279717,14675,15445,15107,16283,14582,14169,14498,15040,18169,20396,20350,17971,16360,17681,12936,10249,7294,4240,1600,292,14154,14946,14071,15423,15144,14647,15168,15684,18742,20708,20635,17920,17224,18679,14046,11756,9427,6646,3685,1012
11C,154412,76944,77468,4665,4710,4452,4923,4651,4630,5254,5762,6206,6194,5572,4596,3875,3791,2660,2117,1599,870,349,68,4458,4370,3949,4204,5383,4929,5697,5755,5658,5764,5175,4292,3870,3943,2978,2553,2128,1353,795,214
11D,158150,78711,79439,4915,5172,4962,4559,3884,4332,4646,5568,6408,6479,6129,5116,4205,4140,3033,2356,1643,807,308,49,4657,4864,4604,4283,3774,4380,5000,5730,6140,6290,6038,4791,4338,4490,3238,2723,2049,1233,647,170
11E,200567,100043,100524,5019,5188,5102,6468,9212,6824,6129,5945,6998,7574,7259,6109,5323,5518,3956,3208,2222,1355,561,73,4721,4908,4904,6860,9415,6315,5671,5585,6597,7133,6822,5834,5450,5719,4328,3673,3008,2143,1140,298
11H,488400,245852,242548,16200,13906,11688,13708,21622,22509,23423,20358,18237,17224,15208,12524,10572,9740,6862,5160,3784,2103,872,152,15304,13662,11305,14176,23552,23870,22586,17662,15337,14953,13952,11785,10098,9517,7348,6194,5107,3562,2040,538
11J,782581,385337,397244,19746,19906,19507,22386,22678,22640,23227,22401,25351,28047,27964,24714,23338,26139,19537,15792,11568,6958,2894,544,18665,19052,18589,21788,22911,22807,23009,20921,24480,27007,27228,24970,24894,27661,21125,17815,15311,10989,6289,1733
11M,631227,312245,318982,17347,17830,17342,19451,19015,18524,18868,17894,21219,24413,23744,20348,18510,19003,14219,11036,7325,4225,1638,294,16661,17081,16838,18926,18152,18599,18705,17932,21344,23929,23536,20056,18920,19770,15065,12126,9728,6776,3819,1019
